Gene 1	Gene 2	Weight	Network group	Network
B2M	CDKN1B	0.00952817	Co-expression	Chen-Brown-2002
B2M	TAP1	0.009340003	Co-expression	Chen-Brown-2002
B2M	STAT1	0.013591731	Co-expression	Chen-Brown-2002
UBB	GLUD1	0.013905796	Co-expression	Innocenti-Brown-2011
GCH1	TICAM2	0.0035125024	Co-expression	Innocenti-Brown-2011
CAMK2A	IFNB1	0.008224978	Co-expression	Innocenti-Brown-2011
TAP1	ISG20	0.013575274	Co-expression	Innocenti-Brown-2011
TAP1	CD38	0.010869887	Co-expression	Innocenti-Brown-2011
NFKB1	STAT5A	0.014489196	Co-expression	Innocenti-Brown-2011
NFKB1	STAT1	0.012763767	Co-expression	Innocenti-Brown-2011
PSMB1	PSMA2	0.004517438	Co-expression	Innocenti-Brown-2011
PSMA6	PSMA2	0.0057616513	Co-expression	Innocenti-Brown-2011
PSMA6	PSMB1	0.013776177	Co-expression	Innocenti-Brown-2011
PSMA3	CDKN1B	0.011383561	Co-expression	Innocenti-Brown-2011
PSMA3	PSMA2	0.0036484743	Co-expression	Innocenti-Brown-2011
PSMA3	PSMB1	0.0077880304	Co-expression	Innocenti-Brown-2011
PSMA3	PSMA6	0.01046147	Co-expression	Innocenti-Brown-2011
PSMA1	PSMA2	0.0060605477	Co-expression	Innocenti-Brown-2011
PSMA1	PSMB1	0.013607974	Co-expression	Innocenti-Brown-2011
PSMA1	PSMA6	0.022846008	Co-expression	Innocenti-Brown-2011
PSMB3	TICAM2	0.0061429725	Co-expression	Innocenti-Brown-2011
PSMB8	PSMA5	0.008515958	Co-expression	Innocenti-Brown-2011
PSMB6	PSMA2	0.003873188	Co-expression	Innocenti-Brown-2011
PSMB6	PSMA1	0.0124370195	Co-expression	Innocenti-Brown-2011
PSMB7	PSMB1	0.013988997	Co-expression	Innocenti-Brown-2011
PSMB7	PSMA3	0.010783791	Co-expression	Innocenti-Brown-2011
PSMB4	SEM1	0.009194177	Co-expression	Innocenti-Brown-2011
PSMB4	PSMB1	0.011304467	Co-expression	Innocenti-Brown-2011
PSMB4	PSMA6	0.014712059	Co-expression	Innocenti-Brown-2011
PSMB4	PSMA3	0.008411602	Co-expression	Innocenti-Brown-2011
PSMB4	PSMA1	0.016143017	Co-expression	Innocenti-Brown-2011
PSMB4	PSMB7	0.017342918	Co-expression	Innocenti-Brown-2011
ADRM1	PSMB2	0.0112323165	Co-expression	Innocenti-Brown-2011
PSMA7	PSMB7	0.01774243	Co-expression	Innocenti-Brown-2011
PIK3CG	CD38	0.021573022	Co-expression	Alizadeh-Staudt-2000
STAT1	IGF2R	0.014670504	Co-expression	Alizadeh-Staudt-2000
NFKB1	IGF2R	0.017683692	Co-expression	Alizadeh-Staudt-2000
B2M	IGF2R	0.017563462	Co-expression	Alizadeh-Staudt-2000
B2M	STAT1	0.014376221	Co-expression	Alizadeh-Staudt-2000
BST1	TIMP3	0.0075407242	Co-expression	Alizadeh-Staudt-2000
EMP1	IFNB1	0.009107777	Co-expression	Wu-Garvey-2007
TIMP3	PRKAR1B	0.010040002	Co-expression	Wu-Garvey-2007
STAT4	ELANE	0.0057515902	Co-expression	Wu-Garvey-2007
PSMA2	SEM1	0.01456944	Co-expression	Wu-Garvey-2007
PSMA4	SEM1	0.0040465076	Co-expression	Wu-Garvey-2007
PSMA4	PSMA2	0.0102283405	Co-expression	Wu-Garvey-2007
PSMA3	GLUD1	0.009360777	Co-expression	Wu-Garvey-2007
PSMA3	PSMA2	0.014852687	Co-expression	Wu-Garvey-2007
PSMA3	PSMA4	0.0042478074	Co-expression	Wu-Garvey-2007
PSMA1	PSMA4	0.0062670987	Co-expression	Wu-Garvey-2007
PSMA1	PSMA3	0.009370026	Co-expression	Wu-Garvey-2007
PSMB3	PSMB2	0.004942557	Co-expression	Wu-Garvey-2007
PSMB8	PIK3CG	0.013399218	Co-expression	Wu-Garvey-2007
PSMB8	TAP1	0.029684847	Co-expression	Wu-Garvey-2007
GNAO1	GZMB	0.0117297545	Co-expression	Wu-Garvey-2007
PSMB7	PSMB6	0.008701419	Co-expression	Wu-Garvey-2007
PSMB4	PSMB2	0.0066375653	Co-expression	Wu-Garvey-2007
PSMB4	PSMB3	0.005017966	Co-expression	Wu-Garvey-2007
PSMB4	PSMB6	0.0044186744	Co-expression	Wu-Garvey-2007
PSMB4	PSMB7	0.014857495	Co-expression	Wu-Garvey-2007
USP14	DNAJA1	0.008629292	Co-expression	Wu-Garvey-2007
B2M	PSMB6	0.008347146	Co-expression	Wu-Garvey-2007
BST1	GCH1	0.026059547	Co-expression	Wu-Garvey-2007
PSMA7	DAP	0.013734302	Co-expression	Wu-Garvey-2007
TAP1	ISG20	0.0028148668	Co-expression	Jiang-de Kok-2017
STAT5A	ISG20	0.008193841	Co-expression	Jiang-de Kok-2017
STAT5A	TAP1	0.007287375	Co-expression	Jiang-de Kok-2017
STAT1	ISG20	0.0027620667	Co-expression	Jiang-de Kok-2017
STAT1	TAP1	0.0025571696	Co-expression	Jiang-de Kok-2017
NFKB1	UNC5B	0.008898478	Co-expression	Jiang-de Kok-2017
NFKB1	GCH1	0.007967268	Co-expression	Jiang-de Kok-2017
NFKB1	TAP1	0.0034372986	Co-expression	Jiang-de Kok-2017
PSMA4	PSMA2	0.012217359	Co-expression	Jiang-de Kok-2017
PSMB1	PSMA2	0.0077220746	Co-expression	Jiang-de Kok-2017
PSMB1	PSMA4	0.00967045	Co-expression	Jiang-de Kok-2017
PSMA6	STAT1	0.0031962527	Co-expression	Jiang-de Kok-2017
PSMA6	PSMA2	0.0063804854	Co-expression	Jiang-de Kok-2017
PSMA6	PSMA4	0.008489061	Co-expression	Jiang-de Kok-2017
PSMA6	PSMB1	0.005702247	Co-expression	Jiang-de Kok-2017
PSMA3	STAT1	0.003913502	Co-expression	Jiang-de Kok-2017
PSMA3	PSMA2	0.008332692	Co-expression	Jiang-de Kok-2017
PSMA3	PSMA4	0.012056865	Co-expression	Jiang-de Kok-2017
PSMA3	PSMB1	0.0068679266	Co-expression	Jiang-de Kok-2017
PSMA3	PSMA6	0.0066114236	Co-expression	Jiang-de Kok-2017
PSMA5	PSMA2	0.0064914683	Co-expression	Jiang-de Kok-2017
PSMA5	PSMA4	0.00928734	Co-expression	Jiang-de Kok-2017
PSMA5	PSMB1	0.006827675	Co-expression	Jiang-de Kok-2017
PSMA5	PSMA6	0.005434257	Co-expression	Jiang-de Kok-2017
PSMA5	PSMA3	0.006995295	Co-expression	Jiang-de Kok-2017
PSMB2	PSMA2	0.016669177	Co-expression	Jiang-de Kok-2017
PSMB2	PSMA4	0.021264473	Co-expression	Jiang-de Kok-2017
PSMB2	PSMB1	0.013733201	Co-expression	Jiang-de Kok-2017
PSMB2	PSMA6	0.011370874	Co-expression	Jiang-de Kok-2017
PSMB2	PSMA3	0.013895876	Co-expression	Jiang-de Kok-2017
PSMB2	PSMA5	0.01223407	Co-expression	Jiang-de Kok-2017
PSMA1	PSMA2	0.00722487	Co-expression	Jiang-de Kok-2017
PSMA1	PSMA4	0.009261206	Co-expression	Jiang-de Kok-2017
PSMA1	PSMB1	0.005858578	Co-expression	Jiang-de Kok-2017
PSMA1	PSMA6	0.0050797774	Co-expression	Jiang-de Kok-2017
PSMA1	PSMA3	0.0063149524	Co-expression	Jiang-de Kok-2017
PSMA1	PSMA5	0.0051671783	Co-expression	Jiang-de Kok-2017
PSMA1	PSMB2	0.01252742	Co-expression	Jiang-de Kok-2017
PSMB3	PSMA2	0.0069696815	Co-expression	Jiang-de Kok-2017
PSMB3	PSMB1	0.0061239223	Co-expression	Jiang-de Kok-2017
PSMB3	PSMA6	0.00437118	Co-expression	Jiang-de Kok-2017
PSMB3	PSMA5	0.0046962467	Co-expression	Jiang-de Kok-2017
PSMB3	PSMB2	0.011576709	Co-expression	Jiang-de Kok-2017
PSMB3	PSMA1	0.0046982663	Co-expression	Jiang-de Kok-2017
PSMB8	ISG20	0.002843147	Co-expression	Jiang-de Kok-2017
PSMB8	TAP1	0.002591859	Co-expression	Jiang-de Kok-2017
PSMB8	STAT1	0.0026557168	Co-expression	Jiang-de Kok-2017
PSMB8	PSMA4	0.0053105312	Co-expression	Jiang-de Kok-2017
PSMB8	PSMA6	0.003481208	Co-expression	Jiang-de Kok-2017
PSMB8	PSMA3	0.0042126025	Co-expression	Jiang-de Kok-2017
PSMB8	PSMA5	0.003510664	Co-expression	Jiang-de Kok-2017
PSMB8	PSMB2	0.007366812	Co-expression	Jiang-de Kok-2017
PSMB8	PSMA1	0.0035344744	Co-expression	Jiang-de Kok-2017
PSMB6	PSMB3	0.0055857575	Co-expression	Jiang-de Kok-2017
PSMB7	PSMB3	0.005448873	Co-expression	Jiang-de Kok-2017
PSMB7	PSMB6	0.0072462047	Co-expression	Jiang-de Kok-2017
PSMB4	PSMB1	0.0098414365	Co-expression	Jiang-de Kok-2017
PSMB4	PSMA6	0.0066007897	Co-expression	Jiang-de Kok-2017
PSMB4	PSMA5	0.007653158	Co-expression	Jiang-de Kok-2017
PSMB4	PSMA1	0.0071011744	Co-expression	Jiang-de Kok-2017
PSMB4	PSMB3	0.0074503166	Co-expression	Jiang-de Kok-2017
PSMB4	PSMB6	0.008257888	Co-expression	Jiang-de Kok-2017
PSMB4	PSMB7	0.008901271	Co-expression	Jiang-de Kok-2017
ADRM1	DNAJA1	0.008162446	Co-expression	Jiang-de Kok-2017
ADRM1	PSMA5	0.004048436	Co-expression	Jiang-de Kok-2017
TAP2	STAT1	0.0057901414	Co-expression	Jiang-de Kok-2017
TAP2	PSMB8	0.0061968723	Co-expression	Jiang-de Kok-2017
B2M	ISG20	0.009000381	Co-expression	Jiang-de Kok-2017
B2M	TAP1	0.008323661	Co-expression	Jiang-de Kok-2017
B2M	STAT1	0.008204539	Co-expression	Jiang-de Kok-2017
PSMA7	PSMB1	0.0074988375	Co-expression	Jiang-de Kok-2017
PSMA7	PSMB7	0.007284054	Co-expression	Jiang-de Kok-2017
PSMA7	PSMB4	0.008929302	Co-expression	Jiang-de Kok-2017
ELANE	GZMB	0.018623382	Co-expression	Wang-Cheung-2015
TIMP3	EMP1	0.020238044	Co-expression	Wang-Cheung-2015
PSMA4	APC	0.0055322945	Co-expression	Wang-Cheung-2015
PSMA3	DNAJA1	0.0035736717	Co-expression	Wang-Cheung-2015
PSMB3	SEM1	0.007639394	Co-expression	Wang-Cheung-2015
PSMB3	PSMB1	0.009325289	Co-expression	Wang-Cheung-2015
PSMB8	TAP1	0.009509566	Co-expression	Wang-Cheung-2015
PSMB6	SEM1	0.0036293576	Co-expression	Wang-Cheung-2015
PSMB6	AKT2	0.0043238234	Co-expression	Wang-Cheung-2015
PSMB6	PSMB1	0.0049574203	Co-expression	Wang-Cheung-2015
PSMB6	PSMA5	0.0017713835	Co-expression	Wang-Cheung-2015
PSMB6	PSMB3	0.0014356672	Co-expression	Wang-Cheung-2015
PSMB7	PSMB1	0.01835825	Co-expression	Wang-Cheung-2015
PSMB7	PSMB3	0.0047974326	Co-expression	Wang-Cheung-2015
PSMB7	PSMB6	0.002635565	Co-expression	Wang-Cheung-2015
PSMB4	PSMB6	0.004007328	Co-expression	Wang-Cheung-2015
PSMB4	PSMB7	0.01686017	Co-expression	Wang-Cheung-2015
ADRM1	SEM1	0.008369604	Co-expression	Wang-Cheung-2015
ADRM1	PSMA5	0.0039752848	Co-expression	Wang-Cheung-2015
ADRM1	PSMB2	0.010968449	Co-expression	Wang-Cheung-2015
ADRM1	PSMA1	0.00942013	Co-expression	Wang-Cheung-2015
ADRM1	PSMB3	0.002869826	Co-expression	Wang-Cheung-2015
ADRM1	PSMB6	0.0015102073	Co-expression	Wang-Cheung-2015
USP14	PSMB2	0.007875601	Co-expression	Wang-Cheung-2015
USP14	PSMA1	0.0066614714	Co-expression	Wang-Cheung-2015
USP14	PSMB6	0.0010564686	Co-expression	Wang-Cheung-2015
USP14	ADRM1	0.0024168526	Co-expression	Wang-Cheung-2015
DAP	PSMB6	0.0024547335	Co-expression	Wang-Cheung-2015
ELANE	ZBP1	0.019062947	Co-expression	Mallon-McKay-2013
GCH1	GLUD1	0.010739374	Co-expression	Mallon-McKay-2013
PSMA2	SEM1	0.003673035	Co-expression	Mallon-McKay-2013
PSMA4	SEM1	0.0040683364	Co-expression	Mallon-McKay-2013
PSMA4	PSMA2	0.0037332515	Co-expression	Mallon-McKay-2013
PSMB1	SEM1	0.004227023	Co-expression	Mallon-McKay-2013
PSMB1	PSMA2	0.0037955497	Co-expression	Mallon-McKay-2013
PSMB1	PSMA4	0.0041273604	Co-expression	Mallon-McKay-2013
PSMA6	SEM1	0.0052177836	Co-expression	Mallon-McKay-2013
PSMA6	PSMA2	0.0046425625	Co-expression	Mallon-McKay-2013
PSMA6	PSMB1	0.005270498	Co-expression	Mallon-McKay-2013
PSMA3	SEM1	0.005554085	Co-expression	Mallon-McKay-2013
PSMA3	PSMA2	0.005220099	Co-expression	Mallon-McKay-2013
PSMA3	PSMA4	0.005667831	Co-expression	Mallon-McKay-2013
PSMA3	PSMB1	0.005682666	Co-expression	Mallon-McKay-2013
PSMA5	PSMA2	0.0033877264	Co-expression	Mallon-McKay-2013
PSMA5	PSMA4	0.0037263646	Co-expression	Mallon-McKay-2013
PSMA5	PSMB1	0.0037379432	Co-expression	Mallon-McKay-2013
PSMA5	PSMA3	0.005044298	Co-expression	Mallon-McKay-2013
PSMB2	PSMA5	0.010542501	Co-expression	Mallon-McKay-2013
PSMA1	SEM1	0.0038471124	Co-expression	Mallon-McKay-2013
PSMA1	DNAJA1	0.0041107885	Co-expression	Mallon-McKay-2013
PSMA1	PSMA4	0.003835377	Co-expression	Mallon-McKay-2013
PSMA1	PSMB1	0.0038655768	Co-expression	Mallon-McKay-2013
PSMA1	PSMA6	0.004928837	Co-expression	Mallon-McKay-2013
PSMA1	PSMA3	0.005214474	Co-expression	Mallon-McKay-2013
PSMB3	PSMA5	0.0065318667	Co-expression	Mallon-McKay-2013
PSMB8	TAP1	0.010212359	Co-expression	Mallon-McKay-2013
PSMB6	PSMB1	0.005065824	Co-expression	Mallon-McKay-2013
PSMB7	SEM1	0.004315115	Co-expression	Mallon-McKay-2013
PSMB7	UBB	0.0068574077	Co-expression	Mallon-McKay-2013
PSMB7	PSMA4	0.004187036	Co-expression	Mallon-McKay-2013
PSMB7	PSMB1	0.0042989464	Co-expression	Mallon-McKay-2013
PSMB7	PSMA6	0.0056835786	Co-expression	Mallon-McKay-2013
PSMB7	PSMA1	0.0041861623	Co-expression	Mallon-McKay-2013
PSMB4	SEM1	0.0044231163	Co-expression	Mallon-McKay-2013
PSMB4	PSMA2	0.003972558	Co-expression	Mallon-McKay-2013
PSMB4	PSMB1	0.0045045544	Co-expression	Mallon-McKay-2013
PSMB4	PSMB7	0.0045445478	Co-expression	Mallon-McKay-2013
B2M	ISG20	0.018587135	Co-expression	Mallon-McKay-2013
BST1	RIPK3	0.018653072	Co-expression	Mallon-McKay-2013
PSMA7	SEM1	0.007889617	Co-expression	Mallon-McKay-2013
PSMA7	PSMA2	0.0069269175	Co-expression	Mallon-McKay-2013
PSMA7	PSMA4	0.0075472156	Co-expression	Mallon-McKay-2013
PSMA7	PSMB1	0.007939832	Co-expression	Mallon-McKay-2013
PSMA7	PSMA3	0.010554006	Co-expression	Mallon-McKay-2013
PSMA7	PSMA1	0.007195154	Co-expression	Mallon-McKay-2013
PSMA7	PSMB7	0.008020388	Co-expression	Mallon-McKay-2013
PSMA7	PSMB4	0.008355448	Co-expression	Mallon-McKay-2013
DNAJA1	GADD45B	0.017209772	Co-localization	Johnson-Shoemaker-2003
DNAJA1	GCH1	0.015302925	Co-localization	Johnson-Shoemaker-2003
PIK3CG	CASP2	0.0070192646	Co-localization	Johnson-Shoemaker-2003
STAT5A	CASP2	0.008435239	Co-localization	Johnson-Shoemaker-2003
STAT5A	PIK3CG	0.01533182	Co-localization	Johnson-Shoemaker-2003
STAT1	GZMB	0.009490093	Co-localization	Johnson-Shoemaker-2003
STAT1	TAP1	0.010937201	Co-localization	Johnson-Shoemaker-2003
NFKB1	TAP1	0.023529828	Co-localization	Johnson-Shoemaker-2003
NFKB1	STAT1	0.013965235	Co-localization	Johnson-Shoemaker-2003
PSMA3	PSMA4	0.01249336	Co-localization	Johnson-Shoemaker-2003
PSMA3	PSMB1	0.006133872	Co-localization	Johnson-Shoemaker-2003
PSMA5	PSMA3	0.011566662	Co-localization	Johnson-Shoemaker-2003
PSMA1	PSMB1	0.015265441	Co-localization	Johnson-Shoemaker-2003
PSMA1	PSMA3	0.011804285	Co-localization	Johnson-Shoemaker-2003
PSMA1	PSMB2	0.022417186	Co-localization	Johnson-Shoemaker-2003
PSMB8	TAP1	0.009579644	Co-localization	Johnson-Shoemaker-2003
PSMB8	NFKB1	0.0111647295	Co-localization	Johnson-Shoemaker-2003
GNAO1	APC	0.0018475624	Co-localization	Johnson-Shoemaker-2003
PSMB7	SEM1	0.008288904	Co-localization	Johnson-Shoemaker-2003
PSMB7	PSMB1	0.0120186135	Co-localization	Johnson-Shoemaker-2003
PSMB7	PSMA3	0.009033595	Co-localization	Johnson-Shoemaker-2003
ADRM1	SEM1	0.010571142	Co-localization	Johnson-Shoemaker-2003
TAP2	TAP1	0.018798053	Co-localization	Johnson-Shoemaker-2003
TAP2	PSMB8	0.011248076	Co-localization	Johnson-Shoemaker-2003
B2M	GZMB	0.008043573	Co-localization	Johnson-Shoemaker-2003
B2M	STAT1	0.006989767	Co-localization	Johnson-Shoemaker-2003
B2M	NFKB1	0.0137855	Co-localization	Johnson-Shoemaker-2003
B2M	RIPK3	0.012359904	Co-localization	Johnson-Shoemaker-2003
BST1	ELANE	0.0061789993	Co-localization	Johnson-Shoemaker-2003
PSMA7	SEM1	0.0046220347	Co-localization	Johnson-Shoemaker-2003
PSMA7	PSMB1	0.0059372433	Co-localization	Johnson-Shoemaker-2003
PSMA7	PSMA3	0.0047071134	Co-localization	Johnson-Shoemaker-2003
PSMA7	PSMB7	0.010759227	Co-localization	Johnson-Shoemaker-2003
PSMA7	ADRM1	0.011528328	Co-localization	Johnson-Shoemaker-2003
STAT1	STAT5A	0.11089697	Co-localization	Chen-Huang-2014
ERBB2	STAT1	0.056006126	Co-localization	Chen-Huang-2014
CD38	CASP2	0.009614422	Co-localization	Schadt-Shoemaker-2004
AKT2	IGF2R	0.011611131	Co-localization	Schadt-Shoemaker-2004
PIK3CD	TICAM2	0.00049593445	Genetic Interactions	Lin-Smith-2010
HGF	EMP1	0.0008391901	Genetic Interactions	Lin-Smith-2010
HGF	PIK3CD	0.0005093109	Genetic Interactions	Lin-Smith-2010
ISG20	PIK3CD	0.0016653361	Genetic Interactions	Lin-Smith-2010
GLUD1	TICAM2	0.00086524367	Genetic Interactions	Lin-Smith-2010
IGF2R	IFNB1	0.0022676704	Genetic Interactions	Lin-Smith-2010
UBB	ISG20	0.0028682225	Genetic Interactions	Lin-Smith-2010
CD38	EMP1	0.0009821906	Genetic Interactions	Lin-Smith-2010
CD38	ISG20	0.0026699717	Genetic Interactions	Lin-Smith-2010
CD38	SEM1	0.0007468449	Genetic Interactions	Lin-Smith-2010
GCH1	HGF	0.00064527587	Genetic Interactions	Lin-Smith-2010
GCH1	UBB	0.0008113105	Genetic Interactions	Lin-Smith-2010
AKT2	UNC5B	0.0011889718	Genetic Interactions	Lin-Smith-2010
AKT2	PIK3CD	0.0006720654	Genetic Interactions	Lin-Smith-2010
PIK3CG	AKT2	0.0017097855	Genetic Interactions	Lin-Smith-2010
CAMK2A	GCH1	0.0005762798	Genetic Interactions	Lin-Smith-2010
CDKN1B	PIK3CD	0.0009622166	Genetic Interactions	Lin-Smith-2010
STAT5A	GCH1	0.0009787146	Genetic Interactions	Lin-Smith-2010
APC	UNC5B	0.00045144418	Genetic Interactions	Lin-Smith-2010
APC	PIK3CD	0.00025517851	Genetic Interactions	Lin-Smith-2010
APC	HGF	0.0003495533	Genetic Interactions	Lin-Smith-2010
APC	GCH1	0.0003233007	Genetic Interactions	Lin-Smith-2010
APC	STAT5A	0.0005301808	Genetic Interactions	Lin-Smith-2010
PPP3CA	TICAM2	0.00032262504	Genetic Interactions	Lin-Smith-2010
PPP3CA	EMP1	0.00039853348	Genetic Interactions	Lin-Smith-2010
PPP3CA	UNC5B	0.00042790503	Genetic Interactions	Lin-Smith-2010
PPP3CA	IGF2R	0.00041856492	Genetic Interactions	Lin-Smith-2010
PPP3CA	DNAJA1	0.0002931881	Genetic Interactions	Lin-Smith-2010
PPP3CA	PIK3CG	0.00061534334	Genetic Interactions	Lin-Smith-2010
PPP3CA	CAMK2A	0.00029589984	Genetic Interactions	Lin-Smith-2010
PPP3CA	APC	0.00016600375	Genetic Interactions	Lin-Smith-2010
STAT1	GCH1	0.0010441365	Genetic Interactions	Lin-Smith-2010
STAT1	CDKN1B	0.0021328188	Genetic Interactions	Lin-Smith-2010
PSMA2	GCH1	0.0014916448	Genetic Interactions	Lin-Smith-2010
PSMA2	DNAJA1	0.0014271245	Genetic Interactions	Lin-Smith-2010
PSMA4	PIK3CD	0.000717294	Genetic Interactions	Lin-Smith-2010
PSMA4	ISG20	0.0032128128	Genetic Interactions	Lin-Smith-2010
PSMA4	APC	0.0004922975	Genetic Interactions	Lin-Smith-2010
ERBB2	CASP2	0.004086107	Genetic Interactions	Lin-Smith-2010
PSMA6	HGF	0.001751986	Genetic Interactions	Lin-Smith-2010
PSMA3	PIK3CD	0.000663297	Genetic Interactions	Lin-Smith-2010
PSMA3	GLUD1	0.0011572368	Genetic Interactions	Lin-Smith-2010
PSMA3	SEM1	0.0008310365	Genetic Interactions	Lin-Smith-2010
PSMA3	IGF2R	0.0011478455	Genetic Interactions	Lin-Smith-2010
PSMA5	DNAJA1	0.0005300456	Genetic Interactions	Lin-Smith-2010
PSMA5	TAP1	0.0017755721	Genetic Interactions	Lin-Smith-2010
PSMA5	APC	0.000300113	Genetic Interactions	Lin-Smith-2010
PSMA5	PPP3CA	0.00028446454	Genetic Interactions	Lin-Smith-2010
PSMA5	ERBB2	0.0012004423	Genetic Interactions	Lin-Smith-2010
PSMA5	PSMA3	0.00078009727	Genetic Interactions	Lin-Smith-2010
PSMB2	PPP3CA	0.00116585	Genetic Interactions	Lin-Smith-2010
PSMA1	AKT2	0.0010838775	Genetic Interactions	Lin-Smith-2010
PSMA1	PSMA4	0.0011568201	Genetic Interactions	Lin-Smith-2010
PSMB3	TAP1	0.0025345266	Genetic Interactions	Lin-Smith-2010
PSMB3	APC	0.00042839398	Genetic Interactions	Lin-Smith-2010
PSMB3	PSMA5	0.0007340972	Genetic Interactions	Lin-Smith-2010
PSMB3	PSMA1	0.001006657	Genetic Interactions	Lin-Smith-2010
PSMB8	PPP3CA	0.0005762055	Genetic Interactions	Lin-Smith-2010
GNAO1	IGF2R	0.0007190843	Genetic Interactions	Lin-Smith-2010
GNAO1	UBB	0.0007156742	Genetic Interactions	Lin-Smith-2010
GNAO1	AKT2	0.0007511079	Genetic Interactions	Lin-Smith-2010
GNAO1	PSMB1	0.0007906536	Genetic Interactions	Lin-Smith-2010
GNAO1	PSMB3	0.0006975955	Genetic Interactions	Lin-Smith-2010
PSMB7	IFNB1	0.0029792238	Genetic Interactions	Lin-Smith-2010
PSMB7	GLUD1	0.0014747771	Genetic Interactions	Lin-Smith-2010
PSMB7	GCH1	0.0010709636	Genetic Interactions	Lin-Smith-2010
PSMB7	PSMA1	0.0013632668	Genetic Interactions	Lin-Smith-2010
RIPK3	CAMK2A	0.0015100695	Genetic Interactions	Lin-Smith-2010
IL12RB2	GADD45B	0.002079601	Genetic Interactions	Lin-Smith-2010
IL12RB2	CD38	0.0012823467	Genetic Interactions	Lin-Smith-2010
IL12RB2	DNAJA1	0.0009695263	Genetic Interactions	Lin-Smith-2010
IL12RB2	STAT5A	0.0016618072	Genetic Interactions	Lin-Smith-2010
IL12RB2	APC	0.00054894795	Genetic Interactions	Lin-Smith-2010
ADRM1	UBB	0.0027535576	Genetic Interactions	Lin-Smith-2010
ADRM1	PSMA1	0.0025784094	Genetic Interactions	Lin-Smith-2010
DAP	STAT5A	0.0008645983	Genetic Interactions	Lin-Smith-2010
DAP	APC	0.00028560444	Genetic Interactions	Lin-Smith-2010
DAP	NFKB1	0.00081913633	Genetic Interactions	Lin-Smith-2010
DAP	PSMB7	0.00094609143	Genetic Interactions	Lin-Smith-2010
TAP2	EMP1	0.00219762	Genetic Interactions	Lin-Smith-2010
TAP2	PPP3CA	0.00086765894	Genetic Interactions	Lin-Smith-2010
TAP2	PSMB2	0.006428808	Genetic Interactions	Lin-Smith-2010
B2M	EMP1	0.001441963	Genetic Interactions	Lin-Smith-2010
B2M	PIK3CD	0.0008751384	Genetic Interactions	Lin-Smith-2010
B2M	APC	0.00060063024	Genetic Interactions	Lin-Smith-2010
B2M	DAP	0.0009794846	Genetic Interactions	Lin-Smith-2010
BST1	GCH1	0.0005328495	Genetic Interactions	Lin-Smith-2010
BST1	CAMK2A	0.0005145166	Genetic Interactions	Lin-Smith-2010
BST1	PPP3CA	0.00027359987	Genetic Interactions	Lin-Smith-2010
BST1	GNAO1	0.00047003783	Genetic Interactions	Lin-Smith-2010
AKT2	PIK3CD	0.0053269533	Pathway	Wu-Stein-2010
PIK3CG	PIK3CD	0.0047304705	Pathway	Wu-Stein-2010
PIK3CG	AKT2	0.0053269533	Pathway	Wu-Stein-2010
CDKN1B	AKT2	0.0066387164	Pathway	Wu-Stein-2010
STAT5A	PIK3CD	0.004280107	Pathway	Wu-Stein-2010
STAT5A	TIMP3	0.062593386	Pathway	Wu-Stein-2010
STAT5A	AKT2	0.004819802	Pathway	Wu-Stein-2010
STAT5A	PIK3CG	0.004280107	Pathway	Wu-Stein-2010
STAT4	PIK3CD	0.005599912	Pathway	Wu-Stein-2010
STAT4	AKT2	0.0063060257	Pathway	Wu-Stein-2010
STAT4	PIK3CG	0.005599912	Pathway	Wu-Stein-2010
STAT1	IFNB1	0.022128616	Pathway	Wu-Stein-2010
STAT1	PIK3CD	0.004042139	Pathway	Wu-Stein-2010
STAT1	TIMP3	0.05911328	Pathway	Wu-Stein-2010
STAT1	AKT2	0.0045518274	Pathway	Wu-Stein-2010
STAT1	PIK3CG	0.004042139	Pathway	Wu-Stein-2010
STAT1	CAMK2A	0.00965367	Pathway	Wu-Stein-2010
STAT1	STAT5A	0.003657308	Pathway	Wu-Stein-2010
NFKB1	IFNB1	0.012648538	Pathway	Wu-Stein-2010
NFKB1	AKT2	0.0026017874	Pathway	Wu-Stein-2010
NFKB1	STAT4	0.0027351058	Pathway	Wu-Stein-2010
PSMA2	CDKN1B	0.0075820307	Pathway	Wu-Stein-2010
PSMA2	APC	0.00804948	Pathway	Wu-Stein-2010
PSMA4	CDKN1B	0.0075820307	Pathway	Wu-Stein-2010
PSMA4	APC	0.00804948	Pathway	Wu-Stein-2010
PSMA4	PSMA2	0.0078244945	Pathway	Wu-Stein-2010
PSMB1	CDKN1B	0.0066084163	Pathway	Wu-Stein-2010
PSMB1	APC	0.0070158388	Pathway	Wu-Stein-2010
PSMB1	PSMA2	0.0068197446	Pathway	Wu-Stein-2010
PSMB1	PSMA4	0.0068197446	Pathway	Wu-Stein-2010
ERBB2	PIK3CD	0.00717167	Pathway	Wu-Stein-2010
ERBB2	HGF	0.0150718475	Pathway	Wu-Stein-2010
ERBB2	AKT2	0.008075973	Pathway	Wu-Stein-2010
ERBB2	PIK3CG	0.00717167	Pathway	Wu-Stein-2010
ERBB2	STAT5A	0.006488893	Pathway	Wu-Stein-2010
ERBB2	STAT4	0.008489795	Pathway	Wu-Stein-2010
ERBB2	STAT1	0.0061281193	Pathway	Wu-Stein-2010
PSMA6	CDKN1B	0.0075820307	Pathway	Wu-Stein-2010
